PrimaryKey,Index Value
2.0,69
3.0,6205519
4.0,157
5.0,282
6.0,396
7.0,511
8.0,609
9.0,718
10.0,812
11.0,910
12.0,1046
13.0,1150
14.0,1240
15.0,1367
16.0,1468
17.0,1608
18.0,1730
19.0,1818
20.0,1948
21.0,2035
22.0,2143
23.0,2249
24.0,2370
25.0,2477
26.0,2641
27.0,2764
28.0,2860
29.0,2977
30.0,3080
31.0,3163
32.0,3249
33.0,3376
34.0,3465
35.0,3577
36.0,3675
37.0,3784
38.0,3883
39.0,4013
40.0,4114
41.0,4225
42.0,4315
43.0,4435
44.0,4545
45.0,4645
46.0,4742
47.0,4832
48.0,4933
49.0,5022
50.0,5150
51.0,5273
52.0,5357
53.0,5443
54.0,5544
55.0,5674
56.0,5779
57.0,5882
58.0,5995
59.0,6098
60.0,6216
61.0,6289
62.0,6424
63.0,6513
64.0,6598
65.0,6691
66.0,6790
67.0,6906
68.0,7003
69.0,7100
70.0,7198
71.0,7283
72.0,7409
73.0,7537
74.0,7630
75.0,7737
76.0,7839
77.0,7989
78.0,8115
79.0,8236
80.0,8325
81.0,8418
82.0,8520
83.0,8610
84.0,8705
85.0,8809
86.0,8904
87.0,9025
88.0,9138
89.0,9257
90.0,9362
91.0,9472
92.0,9580
93.0,9690
94.0,9776
95.0,9924
96.0,10100
97.0,10188
98.0,10319
99.0,10419
100.0,10523
101.0,10648
102.0,10746
103.0,10847
104.0,10946
105.0,11091
106.0,11212
107.0,11319
108.0,11436
109.0,11546
110.0,11675
111.0,11778
112.0,11888
113.0,12002
114.0,12092
115.0,12217
116.0,12328
117.0,12486
118.0,12572
119.0,12697
120.0,12801
121.0,12932
122.0,13049
123.0,13151
124.0,13339
125.0,13437
126.0,13530
127.0,13670
128.0,13765
129.0,13863
130.0,13950
131.0,14046
132.0,14163
133.0,14274
134.0,14358
135.0,14493
136.0,14604
137.0,14727
138.0,14838
139.0,14943
140.0,15063
141.0,15167
142.0,15261
143.0,15388
144.0,15510
145.0,15614
146.0,15751
147.0,15850
148.0,15943
149.0,16056
150.0,16152
151.0,16281
152.0,16412
153.0,16494
154.0,16590
155.0,16687
156.0,16793
157.0,16921
158.0,17010
159.0,17151
160.0,17252
161.0,17368
162.0,17488
163.0,17590
164.0,17693
165.0,17775
166.0,17887
167.0,17981
168.0,18122
169.0,18247
170.0,18374
171.0,18474
172.0,18590
173.0,18717
174.0,18809
175.0,18896
176.0,19026
177.0,19123
178.0,19243
179.0,19371
180.0,19473
181.0,19571
182.0,19662
183.0,19770
184.0,19876
185.0,19990
186.0,20084
187.0,20190
188.0,20302
189.0,20420
190.0,20541
191.0,20661
192.0,20819
193.0,20935
194.0,21045
195.0,21135
196.0,21270
197.0,21362
198.0,21451
199.0,21556
200.0,21648
201.0,21779
202.0,21888
203.0,22018
204.0,22135
205.0,22245
206.0,22356
207.0,22472
208.0,22602
209.0,22703
210.0,22819
211.0,22928
212.0,23037
213.0,23148
214.0,23269
215.0,23376
216.0,23461
217.0,23587
218.0,23701
219.0,23792
220.0,23885
221.0,23997
222.0,24112
223.0,24215
224.0,24335
225.0,24437
226.0,24532
227.0,24662
228.0,24778
229.0,24889
230.0,25028
231.0,25141
232.0,25293
233.0,25398
234.0,25506
235.0,25612
236.0,25751
237.0,25861
238.0,25988
239.0,26108
240.0,26230
241.0,26325
242.0,26428
243.0,26572
244.0,26709
245.0,26825
246.0,26947
247.0,27057
248.0,27174
249.0,27265
250.0,27379
251.0,27484
252.0,27585
253.0,27701
254.0,27816
255.0,27907
256.0,28013
257.0,28120
258.0,28241
259.0,28335
260.0,28476
261.0,28577
262.0,28713
263.0,28813
264.0,28919
265.0,29015
266.0,29110
267.0,29227
268.0,29370
269.0,29469
270.0,29594
271.0,29706
272.0,29813
273.0,29921
274.0,30042
275.0,30174
276.0,30278
277.0,30393
278.0,30521
279.0,30605
280.0,30692
281.0,30783
282.0,30888
283.0,31006
284.0,31115
285.0,31226
286.0,31355
287.0,31489
