secondarykey,Index Value
1.2,69
1.3,6205519
1.4,157
1.5,282
1.6,396
1.7,511
1.8,609
1.9,718
2.0,812
2.1,910
2.2,1046
2.3,1150
2.4,1240
2.5,1367
2.6,1468
2.7,1608
2.8,1730
2.9,1818
3.0,1948
3.1,2035
3.2,2143
3.3,2249
3.4,2370
3.5,2477
3.6,2641
3.7,2764
3.8,2860
3.9,2977
4.0,3080
4.1,3163
4.2,3249
4.3,3376
4.4,3465
4.5,3577
4.6,3675
4.7,3784
4.8,3883
4.9,4013
5.0,4114
5.1,4225
5.2,4315
5.3,4435
5.4,4545
5.5,4645
5.6,4742
5.7,4832
5.8,4933
5.9,5022
6.0,5150
6.1,5273
6.2,5357
6.3,5443
6.4,5544
6.5,5674
6.6,5779
6.7,5882
6.8,5995
6.9,6098
7.0,6216
7.1,6289
7.2,6424
7.3,6513
7.4,6598
7.5,6691
7.6,6790
7.7,6906
7.8,7003
7.9,7100
8.0,7198
8.1,7283
8.2,7409
8.3,7537
8.4,7630
8.5,7737
8.6,7839
8.7,7989
8.8,8115
8.9,8236
9.0,8325
9.1,8418
9.2,8520
9.3,8610
9.4,8705
9.5,8809
9.6,8904
9.7,9025
9.8,9138
9.9,9257
10.0,9362
10.1,9472
10.2,9580
10.3,9690
10.4,9776
10.5,9924
10.6,10100
10.7,10188
10.8,10319
10.9,10419
11.0,10523
11.1,10648
11.2,10746
11.3,10847
11.4,10946
11.5,11091
11.6,11212
11.7,11319
11.8,11436
11.9,11546
12.0,11675
12.1,11778
12.2,11888
12.3,12002
12.4,12092
12.5,12217
12.6,12328
12.7,12486
12.8,12572
12.9,12697
13.0,12801
13.1,12932
13.2,13049
13.3,13151
13.4,13339
13.5,13437
13.6,13530
13.7,13670
13.8,13765
13.9,13863
14.0,13950
14.1,14046
14.2,14163
14.3,14274
14.4,14358
14.5,14493
14.6,14604
14.7,14727
14.8,14838
14.9,14943
15.0,15063
15.1,15167
15.2,15261
15.3,15388
15.4,15510
15.5,15614
15.6,15751
15.7,15850
15.8,15943
15.9,16056
16.0,16152
16.1,16281
16.2,16412
16.3,16494
16.4,16590
16.5,16687
16.6,16793
16.7,16921
16.8,17010
16.9,17151
17.0,17252
17.1,17368
17.2,17488
17.3,17590
17.4,17693
17.5,17775
17.6,17887
17.7,17981
17.8,18122
17.9,18247
18.0,18374
18.1,18474
18.2,18590
18.3,18717
18.4,18809
18.5,18896
18.6,19026
18.7,19123
18.8,19243
18.9,19371
19.0,19473
19.1,19571
19.2,19662
19.3,19770
19.4,19876
19.5,19990
19.6,20084
19.7,20190
19.8,20302
19.9,20420
20.0,20541
20.1,20661
20.2,20819
20.3,20935
20.4,21045
20.5,21135
20.6,21270
20.7,21362
20.8,21451
20.9,21556
21.0,21648
21.1,21779
21.2,21888
21.3,22018
21.4,22135
21.5,22245
21.6,22356
21.7,22472
21.8,22602
21.9,22703
22.0,22819
22.1,22928
22.2,23037
22.3,23148
22.4,23269
22.5,23376
22.6,23461
22.7,23587
22.8,23701
22.9,23792
23.0,23885
23.1,23997
23.2,24112
23.3,24215
23.4,24335
23.5,24437
23.6,24532
23.7,24662
23.8,24778
23.9,24889
24.0,25028
24.1,25141
24.2,25293
24.3,25398
24.4,25506
24.5,25612
24.6,25751
24.7,25861
24.8,25988
24.9,26108
25.0,26230
25.1,26325
25.2,26428
25.3,26572
25.4,26709
25.5,26825
25.6,26947
25.7,27057
25.8,27174
25.9,27265
26.0,27379
26.1,27484
26.2,27585
26.3,27701
26.4,27816
26.5,27907
26.6,28013
26.7,28120
26.8,28241
26.9,28335
27.0,28476
27.1,28577
27.2,28713
27.3,28813
27.4,28919
27.5,29015
27.6,29110
27.7,29227
27.8,29370
27.9,29469
28.0,29594
28.1,29706
28.2,29813
28.3,29921
28.4,30042
28.5,30174
28.6,30278
28.7,30393
28.8,30521
28.9,30605
29.0,30692
29.1,30783
29.2,30888
29.3,31006
29.4,31115
29.5,31226
29.6,31355
29.7,31489
29.8,31590
29.9,31709
30.0,31888
30.1,32008
30.2,32113
30.3,32212
30.4,32320
30.5,32427
30.6,32576
30.7,32693
30.8,32799
30.9,32906
31.0,33041
31.1,33129
31.2,33233
31.3,33341
31.4,33454
31.5,33557
31.6,33695
31.7,33848
31.8,33992
31.9,34115
32.0,34199
32.1,34315
32.2,34416
32.3,34563
32.4,34705
32.5,34825
32.6,34959
32.7,35086
32.8,35211
32.9,35342
33.0,35453
33.1,35554
33.2,35661
33.3,35803
33.4,35905
33.5,35986
33.6,36097
33.7,36204
33.8,36298
33.9,36409
34.0,36522
34.1,36623
34.2,36720
34.3,36849
34.4,36960
34.5,37049
34.6,37139
34.7,37250
34.8,37381
34.9,37520
35.0,37626
35.1,37727
35.2,37832
35.3,37957
35.4,38062
35.5,38156
35.6,38255
35.7,38391
35.8,38483
35.9,38594
36.0,38681
36.1,38829
36.2,38910
36.3,39000
36.4,39124
36.5,39246
36.6,39347
36.7,39455
36.8,39569
36.9,39669
37.0,39759
37.1,39869
37.2,39980
37.3,40086
37.4,40237
37.5,40379
37.6,40486
37.7,40611
37.8,40711
37.9,40800
38.0,40909
38.1,40996
38.2,41100
38.3,41218
38.4,41304
38.5,41419
38.6,41522
38.7,41667
38.8,41781
38.9,41925
39.0,42028
39.1,42134
39.2,42222
39.3,42349
39.4,42465
39.5,42596
39.6,42692
39.7,42794
39.8,42879
39.9,43016
40.0,43126
40.1,43237
40.2,43368
40.3,43476
40.4,43575
40.5,43692
40.6,43794
40.7,43920
40.8,44031
40.9,44127
41.0,44227
41.1,44321
41.2,44417
41.3,44541
41.4,44646
41.5,44763
41.6,44863
41.7,44963
41.8,45061
41.9,45173
42.0,45290
42.1,45390
42.2,45507
42.3,45619
42.4,45728
42.5,45893
42.6,45998
42.7,46091
